A.301	There is a gap in my solution. Hopefully, the following will be useful.\[\] Matrix norms: $\begin{align*} \left(\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\right)^{\frac{1}{2}}\leq \left(\sum_{i=1}^{m} \left|\sum_{j=1}^{n} a_{ij}\right|\right)^{\frac{1}{2}} \leq \left(\sum_{j=1}^{n} \sum_{i=1}^{m} |a_{ij}|^{2}\right)^{\frac{1}{2}} & \Rightarrow \sqrt{\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\leq \sum_{i=1}^{m} \left|\sum_{j=1}^{n} a_{ij}\right|\\ \Rightarrow \sqrt{\sum_{i=1}^{m} \sum_{j=1}^{n} (a_{ij}^{2}) \leq \sum_{i=1}^{m} a_{ij} \cdot \sqrt{m} \sum_{j=1}^{n} a_{ij} = \sum_{i=1}^{m} \sum_{j=1}^{n} a_{ij} \cdot \sqrt{1} = \sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij} \\ \Rightarrow \left(\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\leq \sum_{i=1}^{m} |a_{ij} \leq \sum_{i=1}^{m} \sum_{j=1}^{n} (a_{ij)^{2}\end{align*}$ Now this could be telescoped to $\begin{align*} \sum_{j=1}^{n}|a_{j1}|^{2}+\sum_{j=2}^{n}|a_{j2}|^{2}+\cdots+\sum_{j=1)^{n}|a_{jn}|^{2}\leq \sum_{i=1}^{m}\sum_{j=1}^{n} a_{ij} \leq \sum_{i=1}^{m}\sum_{j=1}^{n
A.328	Answer:Using the formula for real numbers $\cos(2\theta)=\cos^2(\theta) - \sin^2(\theta)$, we know that $$\cos(2\theta)=\cos^2(\theta)-\sin^2(\theta) - \sin(2\theta)=-1$$. So we prove by induction that for all integers $n\ge2, \sum_{k=1}^{n}\cos\frac{2\pi k}{n}=0$. If $n=2$, the LHS is 0 as shown above. If $n=3$, we have a sum of $\cos\frac{2\pi}{3}=-\frac{1}{2}$ and a RHS of 0. Assume the statement is true for some integer $n=k$, i.e. $$\sum_{k=1}^{n}\cos\frac{2\pi k}{n}=0$$, then $$\cos\frac{2(\pi)(n+1)=\cos\frac{2\pi}{n}=-\frac{1}{2}+\cos\frac{2\pi}{k}+\cos\frac{2\pi}{k+1}$$which implies that $$\cos\frac{2\pi}{n}=\cos\frac{2\pi}{k}+\cos\frac{2\pi}{k+1}=\cos(\frac{2\pi+2\pi k)-2\pi)=\cos\frac{2\pi}{k+1}$$, which is a nonzero quantity. Thus the statement is true for $n=k+1$ and we are done. By the principle of mathematical induction, the statement is true for all integers $n\ge2$. The answer is \strong{Mathematical induction}. The answer is \strong{\em{Mathematical induction}}.
A.329	Let $p \in A$ and $p \in U$. Since $A$ is compact, $p$ has a compact nbhd $W$ such that $W \subseteq A$ (since singletons are closed in compact spaces). Then $W$ is also open and we canів find an open set $O \subseteq W$ and a closed set $C \subseteq O$ such that $A \subseteq O$ and $O \subseteq W$. Define $V = O$. Then $A \subseteq O \subseteq \overline{O} \subseteq U$. But we need $A \subseteq V \subseteq \overline{V}$. If $x \in \overline{O}$, then $x \in O$ or $x \in \overline{O}$, if $x \notin O$, then $x \in \overline{V}$. Thus $V$ is a nbhd of $A$ and we get $\overline{V} \subseteq U$. Then $A \subseteq \overline{V} \subseteq U$. The answer isgenerate an open set $V$ with $A \subseteq V \subseteq \overline{V} \subseteq U$.
A.330	\begin{align*} We look at the first row, which consists of all 1's except for the first and last entry. We can multiply the entire row by $x-a$ to get \begin{align*} x(x-a)&-a(x-a)=x^2-a^2=(x-a)[x-a]=x^2-a\end{align*} We can notice that the first column turns into all $x$'s with the same reasoning above. The determinant becomes (the product of the first row multiplied by the first column) - the product of the other combinations. Since there are $n-1$ other combinations that have $a$ in them, the answer is $x(x-a)\left(x-a\right)^{\frac{n-1}$. \begin{align*}-\frac{1}{2}\end{align*} In the original matrix, the first row becomes all $x$'s and the entire determinant becomes\begin{align*}&\left[x-a\right]^{n-1} \end{align*} Thus, our answer is $\boxed{\left[x+a\left(x-a\right)^{n-1}}$. The answer is x+a\left[x-a\right]^{n-1}
A.331	On graphing the function $y=4^x+6^x-9^x$, we find that at $x\approx 1.229$, $y$ and $y<0$. In order to determine the sign of $g(x)$, we can $$g(1.3)=(4^{1.3}+6^{1.3}-9^{1.3})>0, \ g(1)=(4^{1}-9^{1})<0, \text{and }g(0)=0.$$This graph shows that there is a local maximum at $x$, and since $g(x)$ is increasing, it must be greater than $0$ in a neighborhood of $x\approx 1.29.$ Further, $g(x)$ is concave to the left of $x=1.29$ as shown below. [asy] import graph; defaultpen(.7); size(2000,150); real t=0.25; xaxis(-3,3,arrows(0)); yaxis(0,5,Ticks(bound(-2,2)); draw((-3,-2.5)--(3,-1.5)); draw(graph(x*x+t,-2,0,2,n=2000,step=0.01)); draw((0,0)--(1.3,0),linetype("-",1.5)); draw((0,-1)--(0,1.5),linetype("-",1.5)); layer(); dot((1.29,-2)); label("$x\approx 1.29$",(1.29,-2),W); dot((1,-2),linetype("-",1.5)); label("$y<0$, (1,-2),S); dot((0,-1),linetype("-",1.5)); label("$y=0$, (0,-1),S); dot((-1,-2),linetype("-",1.5)); label("y>0",(-1,-2),W); layer(); [/asy] Hence $f(x)$ is negative for $0<x<1.29$, so we suff
A.332	I picked $1 < a,b<m = 2 < 3 < 4$. Then $n = (2)(2)(4) = 8$ and $g(n) = \frac{8}{2} = 4$. Re-arrange: We need to show that $g(n) = \frac{n}{L(n) = \left(\frac{n}{{\text{least prime p of n}\right)$. Since $n = 2$, $2|n$, and $\frac{n}{2}$ is the smallest prime of$n$. Hence$g(n) = \boxed{4}$. The answer is correct, but I'm not too sure on the format. Is there a better way?
A.333	Pass the coordinates to polar, so $X = R\cos(\Phi)$ and $Y = R\sin(\Phi)$. Then $X^2 + Y^2 = R^2 = R^2(\cos^2(\Phi) + \sin^2(\Phi) = R^2$. The mean of $X^2$ is $E[X^2] = \frac{1}{2}$ and the mean of $Y^2$ is also $\frac{1}{2}$, so $E[X^2Y^2] = \frac{1}{2}$. Thus we have, $$\begin{aligned} &\int_{0}^{1} \int_{0}^{\pi} \frac{1}{2} r dr \left[ \frac{1}{2} - \frac{1}{2} \sin^2(\phi) \right] d\phi = \int_{0}^{1} \int_{0}^{\pi} \frac{1}{2} R^2 dr \left[ \frac{1}{2} \cos^2(\phi) - \frac{1}{2} \sin^2(\phi\right] d\phi \\ &= \frac{1}{2} \int_{0}^{1} \left[ \frac{1}{2} \int_{0}^{\pi} \frac{dr}{r} \right] \left[ \frac{1}{2} (R-\frac{1}{2}) d\phi \right] \\ &= \frac{1}{2} \left[ \frac{1}{2} \left[ \frac{1}{2} \left[ \frac{1}{2r}\right]_{r=0}^{r=1} \right] \left[ \frac{1}{2} \left[\frac{1}{2}\sin^2(\phi)\right]_{0}^{\pi} \right] \\ &= \frac{1}{4} \left(\sin(\pi) - \sin(0\right) = \frac{1}{4}. \end{aligned}$$ Now we use the projectivist's theorem to transform the integral: $$\int_{0}^{1} \int_{0}^{\pi} \frac{1}{2} r dr \left[ \
A.337	Let $\alpha$ be a parameterization of the curve $\gamma$ by an orthogonal trajectory. Then, $\alpha'(t)$ is orthogonal to $\gamma(t) = \alpha'(t) \times \alpha(0)$ and $\alpha(0)$. Let $\gamma(0) = P$. The normal vector of the curve is given by $\alpha'(0)$. The condition $\gamma(t) \cdot \gamma'(t) = \lambda(t)$ implies that $\alpha'(t) \cdot \alpha(t)$ is a scalar that means the curve is a geodesic, because $\alpha$ lies on the surface generated by the point $P$. If $\gamma(t)$ lies on the surface generated by $P$, then the operator $\gamma(t)$ is the rotation matrix for the tangent vector of $\alpha$. Hence, $\gamma'(t)$ is the coordinate vector of $\alpha$ rotated by 90 degrees clockwise, centered at the origin. Therefore, $\gamma'(t) = (\lambda(t), -\lambda(t), 0)$. Here, the curve is a rhombus, which is a straight line.
A.338	Suppose a = 4 and b = 5, and let's find all integer solutions for the equation $y = \frac{a+bx}{b-x}$. We first find that $y = \frac{a+bx}{b-x} = \frac{4+5x}{5-x} = 1+\frac{4}{5}$. Now we must solve the equation $1+\frac{4}{5} = \frac{y}{x}$. Cross-multiply to get $1x = 5y - 4$. Rearranging to get $x = \frac{5y - 4}{1} = 5$, where $x$ must be an integer. We can express 5 as 1, 10, 15, 20, and so on. Substitute $y = \frac{4+bx}{b-x} = \frac{a+5}{a-5} = \frac{4+5}{5}$ so $y$ can be -1, 8, 12, 17, 333, and so on. For $x$ to be an integer we must get $a = 5$. Thus we find that $y$ can also be -1, 8, 17, and 333. Substitute $a = 4$ back into the original equation to get $y = \frac{4+bx}{b-x} = \frac{13}{1} = 3$. Let $x = 5$ to get $y = 2$, but $x = -5$ gives $y = 6$, so $(x, y) = \boxed{(5, 3)$ and $(-5, 6)}$. Is this all the solution. Now try $a=6$ to get $y = \frac{1+6x}{6-x}$, which gives $y = 11, 2, 6, 110, 12$, so $(x,y)$ can be $(1,1), (6, 2) and (10, 10)$ Answer: (5, 3) and (-5, 6), (1, 1), (6,
A.339	Answers still want $r,s \in \mathbb{Z}$. We have that $a,b$ are relatively prime, so $gcd(a,b) = 1$. By the reverse of Bézout's lemma, there exist integers $r,s$ such that $arc + bsc = k$ for some integer k, so $kr = a \cdot b \cdot c$. Then $(ar + bs)c = akr + bsk = ac + bc = c$. Thus $a \mid c$. Let's generalise: let $gcd(a,b) = d$ and $d \mid c$, so $d = a'd' for some integers $d,d'$. Bézout's lemma gives $ad + bd'c = k$ for some $k$. Then $k = \frac{ac}{b$, so $a \mid ac \div b$. Since $d \mid c$, we have $\frac{ac}{b} \mid c$, so $a \mid ac$. There must be integers $r,s$ such that $ar + bs = \frac{ac}{b}$; then $a \mid ar + bs = 1$, so $a \mid c$. This works. I guess I don't know whether $b$ is visibly a factor of $c$. The intention was to factor $c$ and check $a$ divides each of the factors, but that seems brittle. Answer: It is likely that the wording led me to think that $b$ has to be a factor of $c$, but I had the gcd incorrect; $a$ and $b$ are relatively prime, so $gcd(a,b) = 1$. Bézout's lemma can be restated as $\gcd(a,b) \cdot \gcd(b,c) = \gcd(ab, c)$, but I don't think that helps much. This is propositional - are $a,b,c$ pairwise relatively prime? If positive then since $\gcd(a,b)$ must be prime (it's got to be), $\gcd(a,b) \cdot \gcd(b,c) = \gcd(a,c
A.340	A Cauchy sequence is a sequence that, given $\epsilon > 0$, there exists a natural number N such that for all $n, m \geq N$, we have $|x_n - x_{n+1}| < \epsilon$. Given $\epsilon > 0$, we choose $N$ such that $\frac{1}{3^N} < \epsilon$. Let $m = n + 1$. For $n \geq N$, we have $|x_m - x_n| = |x_{m} - x_{m-1} + x_{m-1} - \cdots - x_1| \leq |x_{m} - x_{m-1}| + |x_{m-1} - x_{m-2}| + \cdots + |x_1| < 1 + 1 + \cdots + 1 < 3^n = \frac{3^n$. It follows that $|x_m - x_n| < \frac{1}{3^n} < \epsilon$. Done is such a sequence Cauchy? The answer is: Yes, it is Cauchy.
A.342	It can be given in the case of exponential distribution where $$f(x) = \lambda e^{-\lambda x}$$ But here, they have four presentations of exponential kind. So we have to multiply it four times. So answer should be $\boxed{125 \div 6 = 25$ minutes Answer is E
A.344	Answer: It seems that you're correct. The counterexample is consistent. The theorem states that any collection of subsets of a nonempty set $X$ forms a subbasis for a unique topology on $X$. In this case, $X = \{a, b, c, d, e\}$ is a nonempty set, so the collection $\mathcal{A} = \{\{a\}$ is a subbasis for a topology on $X$. However, the basis $\mathcal{B} = \{\{a\}$ means that the topology $\tau = \{\{a\}$ only contains $X$. Therefore, the topology is essentially the trivial topology, which means that every open set in the topology is also closed (because a basis element is also a closed set). But the union of the basis elements is $\{a\}$, which is not equal to $X$. Therefore, the topology is not minimal, and the theorem is not applied in this case.
A.345	Anyone can help? Let the questions be: 1)Relative position of the lines r and s 2)distance between the lines r and s, I also will provide the answer for 2 but I don't know how to compute it. \begin{itemize} \item Relative position of the lines r and s: r and s are skew lines r: $\begin{cases} \phi_r= (1, 1, \lambda-2) \\ \theta_r=90^{\circ}, \psi_r=90^{\circ}\end{cases}$ s: $\begin{cases} \phi_s= (\mu, \mu -1, -1 ) \\ \theta_s= \psi_s= 90^{\circ} \end{cases}$ To find the perpendicular direction vector, we take the cross product of the two normal vectors: $\begin{cases}\hat{v}_{r}\times\hat{v}_{s}=(\cos90^{\circ}\hat{r}\times\cos 90^{\circ}\hat{s}= (\lambda-1\hat{i}+1\hat{j}лав-2\hat{k}=(\lambda-1)\hat{i}-2\hat{j}=(\lambda-1)\hat{i}+\hat{j}\end{cases}$ Distance between the lines r and s is the distance between the skew lines, so I have only to find a point on these lines and take the distance from the origin: $P=(\lambda -1$, $\mu -1, -1)$ Now, the distance is $\sqrt{(1-(\lambda -1)^2+1-2^2}=\sqrt{(1+\lambda^2-2\lambda+1)}$ The answer is $\sqrt{\lambda^2+1}$
A.346	A set that has an upper bound but no least upper bound is called a bounded set above. A set that has a lower bound but no greatest lower bound is called an unbounded set below. A set whose every upper bound is also a lower bound is called a closed set. In mathematics, an open set is a set which has a non-empty intersection of its upper and lower bounds. An infinite set is a set with no least upper bound. A set with no greatest lower bound is called an unbounded set. Notice that we have a set of all rational numbers greater than $1$. This set $S$ has no least upper bound because for every $M > 0$, we can always find a rational number $r$ such that $r > M$. Consider the set of all even integers, which is bounded above by $M = 0$. No matter how small we make $M$, we can always find a rational number $r$ such that $r > 0$ and $\frac{r}{2 > M$. However, this set has a greatest lower bound, $0$. To see this, note that given any $l \in \mathbb Q$ such that $l^2 > 2$, then $l - l$ is a positive integer. Since $l$ is a rational number, it can be expressed in the form of $l = \frac{a}{b}$, where $a$ and $b$ are integers. Then $l - 1 = \frac{a}{b} - 1$ where $a,b$ are both positive integers. But we can express $l - 1$ in the form $\frac{a}{b}$ as $\frac{l - 1}{b}$, so $l - 1 < 0$. Q.E.D. Therefore, the set of all rational numbers greater than $1$ is a closed set because it has a greatest lower bound of $0$ and an upper bound of $0$. The set $\{r \in \mathbb Q \mid r^2 > 2, r > 0\}$ is unbounded below. Therefore, the answer is $\boxed{Because it has no least upper bound}$. The answer is Because it has no least upper bound
A.347	Proof: The proof is basically showing that if the GCD of $a-b$ is 1, then the GCD of $a+b$ and $a-b$ is also 1 or 2. Two equations are given: $a+b = ma$ and $a-b = na$. Subtract the second from the first: $(m-n)d = a-(n+m)a$ $$ \Rightarrow \Rightarrow \frac{a}{d}=1 $$ By the definition of GCD, this shows $d$ divides $a$, so $d$ must be a divisor of $a$. But $d$ is also a divisor of $a-b$, so $d$ must be a divisor of $b$. If $d=1$, we're done. Otherwise, we may divide the original equation of $a+b$ by $d$ to get a dividend of 2, so $a+b = md = 2$, and we're done again. Otherwise we know $a+b = 2$, and the our job is to show $d$ divides both $a-b$ and $b$. Subtract the original second equation from this: $$ (m-2n)d=a-2b $$ Again showing that $d$ divides $a$ and so $d$ divides $b$. Thus we have shown that in both cases, $a+b$ and $a-b$ have a common divisor of 1 or 2. Q.E.D. @DerekHolt answer:It may be useful to add and subtract these equations to see why this works: 1. $a+b = (m+n)d$ so $a+b = md$ 2. $2a = (m+n)d$ and $3b = (m-n)d$, so $3b = (m+n+m-n)d$ $$ \Rightarrow \Rightarrow \frac{a+b}{a-b}=1 $$ 3. $(m-n+m)d$ divides $a-b$ and also divides $a+b$, since $d$ divides $b$. Since we know $d = \gcd(a+b,a
A.348	Answer: Yes, there is such a condition. Note that \begin{align*} \det\begin{pmatrix} A & -B\\ B & A \end{pmatrix} &= \det\begin{pmatrix} A & -B\\ B & A \end{pmatrix} = (-1)^n\det\begin{pmatrix} A & B\\ B & A\end{pmatrix} = (-1)^n\det(A-A)\det(A+B) = 0\cdot \det(A-A) \det(A+B) = \boxed{0}. \end{align*}. The answer is 0
A.349	Below is the text from the last part of my textbook that describes how to do this:Since we know that $x!$ and $y$ are equal, we can group the factors on the right-hand side to obtain: $$y = x\sqrt{2\pi} \cdot\left(\frac{x}{e^x\right)$$ Therefore, $x\sqrt{2\pi} = y\sqrt{e}$ or $x\sqrt{2\pi} = y\sqrt{e} \Rightarrow x = y\sqrt{\frac{2\pi}{e}$ Only 114.5 is satisfied by the equation, which means that x = 25.5 or y = $\sqrt{\pi}.$. Since $x!$ is thelaravel in $\sqrt{2\pi x},$ we have $\boxed{25.5! = \sqrt{\pi}$, and indeed, $25! = \sqrt{\pi}$. #### 25
A.350	Then, I'm lost, I don't know how to go about proving that $\frac{(k+1)^3 - (k+1)}{2}$ and $\frac{(k+1)^3 - (k+1)}{3}$ are integers, could someone help. I would appreciate it. Answer:The induction step is proving that if 2 and 3 divide $k^3-k$, then 2 and 3 will divide $(k+1)^3-(k+1)$. We can factor $k^3-k$ as $(k-1)k^2+k$. Now, we need to show that $(k+1)k^2-k$ is divisible by 2 and $(k+1)k^2-k$ is divisible by 3. Since we cannot have a negative term in a natural number, $k^2-k$ is always positive. We are done if we can show that $k^2-k+k$ is divisible by 6, since $k^2-k$ is the difference of two consecutive squares, which is always even. We can factor $k^2-k$ as $k(k-1)$. Thus $k$ must be one greater than an even number, that is, $k(k-1)$ is even. Completing the square on $k-1$, we have $(k-1)/2$, which is an integer. Thus $k$ is odd. The product of two odd numbers is even and therefore, $k^2-k$ is even. So, we can factor out an even number an even minus an odd number, and we have $(k+1)k^2-k = (k)(k-1)$ divisible by 6. So, $(k+1)^3-k$ leaves a remainder of $0$ when divided by 3, which means $k(k-1)$ leaves no remainder when divided by 3. The remainder of $k+1$ is the same as the remainder of $k$. Therefore, $(k+1)^3-(k+1)$ is divisible by 3, as desired. So, the induction step is complete. QED.
A.352	The answer is as follows : Very easy: take a function which is 0 for $x$ from $0$ to $\infty$ and equal to $1$ between $3$ and $4$. E.g. $f(x) = \chi_{[3,4]$ the point mass function, then $-\frac{1}{2}$ for $x$ from $-5$ to $5$. Now multiply this by a test function which is 0 for $x$ from $-1$ to $1$ and $1$ for $x$ from $1$ to $5$. This gives you a function which is 0 for $x$ from $-1$ to $5$, but has a finite positive area. Answer: $\boxed{\frac{1}{2}$
A.353	Let's consider two deck of cards drawn from a standard deck of 52 cards. Let X be the random variable representing the rank of the card drawn (Ace, 2,3,4,5,6,7,8,9,10,Jack,Queen,King) and Y be the random variable representing the rank of the card drawn (Ace,2,3,4,5,6,7,8,9,10,Jack,Queen,King). 2,4,6,7,9,10,Jack,Queen,King are represented by 11 while the King is represented by 0. Now, if both X and Y are independent, then we will have $P(X=Y)= P(X=1)*P(Y=1) + P(X=0)*P(Y=0) = 6/2*3/52 + 1*1/2 =63/52 Now if X and Y are uncorrelated, we will have E[XY] = 0. So, $Cov(X,Y) = E(X)E(Y) = 0. $Cov(X,Y) = E(X)-E(Y) = E(X) - 0 = X - 1/2 $Cov(X,Y) = 0 - 0 = -1/2 $Cov(X,Y) != 0 implies X and Y are dependent. Therefore X and Y are dependent. Say, in a standard deck of 52 cards, we have one Ace of Diamonds (rank 1) and one Ace of Clubs (rank 1). In this case X and Y will be uncorrelated but dependent. Another example could be two dice rolls, where difereing in one die result in even number Indicates the result of the other die is an odd number and vise-versa. Another example, two dices, a 5 in X means the result in Y is 6, an odd number.and a 6 in Y means the result in X is odd. In these cases, X and Y are dependent. Therefore, two independent random variables, X and Y,
A.354	Answer:There is a common misconception in the question. Euclid's element is not the converse of this statement. The correct statement which Euclid's Lemma proves is that if $p$ and $q$ are two positive integers, $p > q$ and $p$ divides $ab$, then $p$ divides $b$. The lemma states: "If $p$ divides $\gcd ab$, then $p$ divides both $a$ and $b$." In other words, given two numbers, the smallest positive divisor of their GCD is always a divisor of each. The key to this problem is to use the definition of a prime number. Since $p_1$ and $p_2$ are distinct primes, they cannot both divide $a$, which means that their GCD must be $1$. So to use Euclid's lemma, we need to find a smallest divisor that divides $a$ and that is $\boxed{1$. Since prime numbers have no positive divisors other than $1$ and $a$ itself, this means that $p_1p_2$ must divide $a$. (A smaller positive number can't divide both $a$ and be a divisor of $p_1$ and $p_2$ since they're prime, so the only possibility is $1$. Or equivalently, both primes must be factors of $a$.). The answer is 1
A.355	We begin by defining $g(x)=xf(x)+y. $g(f(x)) = f(x)^2 + f(y)$. Then by substituting g(f(x)) into g(f(x)) we get $g(f(g(x)) = g(f(x)^2 + f(y)) \Longrightarrow g(f(x)^2 + f(y)) = g(x) \Longrightarrow g(x) = g(f(f(x)+y)$ Now substitute $g(x)$ into the given equation in order to get $g(f(f(g(x)) = g(x) \Longrightarrow f(x) = g(f(f(x)+y) = f(g(x) \Longrightarrow g(x) = x$. Thus there is a solution $f(x) = x$, as desired. Now suppose there is another $h(x)$ such that $f(x) = ax+b$. Let $g(x) =h(x) $ so $g(f(x) = af(x)+b$. Substituting this into the given equation, we get $g(f(x) = a^2(ax+b)+b$. Substituting into $g(f(x) =xf(x)+y$, we get that $a^2x+b = ax+b.\Rightarrow a = 1$. Thus, $a = a = 1$. Not only $g(f(x) = h(x)=f(x)$, but also $g(f(x) = gh(x) = f(x)+y$, so $g(x) =h(x) = f(x)+y$. Then that would mean $f(f(x)=f(x)$. But this cant be true for all $x$. Thus, no other solution. \[\: \] Let me make one last thing clear. If $g(x) =f(x)$ why cant it be true? Set $x = -1$, then $g(-1) = f(-1)$. So we have $g(-1) = f(-1) = f(1)$. But we get $g(-1)=(-1) \ne f(1)$. So only $f$ can
A.356	Answer: By differentiating the given equation $k$ times, we get $k$ times of the given differential equation. So we want a particular solution where $ f^{(k)}(x) = f(x)$. Note that $f^{(k)}(x) = \sum_{n=0}^{\infty} \frac{x^{kn}}{(kn)!}$. Differentiating, we get: $$f^{(k+1)}(x) = \sum_{n=1}^{\infty}\frac{knx^{kn-n}{(kn)!}=\sum_{n=0}^{\infty}\frac{knx^{kn-n}{(kn-1)!}.$$ Let's define $g(x) = \sum_{n=0}^{\infty}\frac{x^{kn}}{(kn)!$, where $k\in\mathbb{N}$. Then $g^{(k)}(x) = \sum_{n=0}^{\infty}x^{kn}$ and $g^{(k+1)}(x) = \sum_{n=0}^{\infty}\frac{knx^{kn-n}{(kn-1)!}$. Thus $f^{(k+1)}(x) = g(x),$ so $f^{(k+1)}(x)=\sum_{n=0}^{\infty} \frac{x^{kn}}{(kn)!}+\sum_{n=0}^{\infty}x^{kn} = g(x)$. Therefore, the sum in the end needs to be expressed as a sum of the form $g(x)$, where $g(x) = \sum_{n=0}^{\infty}a_nx^{n}$ with $a_n = \frac{(-1)^n}{n!(k-1)!$. Now, $f^{(k+1)}(x)=g(x) \Longrightarrow f^{(k+1)}(x) -g(x)= g^{(k+1)}(x)$, and $f^{(k+1)}(x)= \sum_{n=0}^{\infty} \frac{x^{kn}}{(kn)!}+\sum_{n=0}^{\infty}\frac{x^{kn}}{(kn-1)!}$. If we multiply the second sum on the right by $(kn-1)!$, we get: $$ \sum_{n=0}^{\infty}\frac{x^{kn}[(knx^{kn-
A.357	There's a couple ways to approach this problem. One way is to use interpolation. We can't guarantee that we can write a unique function that fits the series definition, but let's try to approximate. Since we have two points, we can pretty accurately say that $f(1) = 2$ and $f(2)=4$ and $f(3)=8$. By extending linearly, we find that $f(4)=12$, $f(5)=16$, and $f(6)=18$. So the trend is to add 2, 4. And we get $(f(n)=2n-2)$ for $n\leq 5$. We can keep doing this: 1. $f(n)=2n-2$ for $n \le 5$ 2. $f(n)=4n-4$ for $n \le 6$ 3. $f(n)=8n-8$ for $n \le 7$ 4. $f(n)=10n-10$ for $n \le 8$ etc. This gives us a pretty good idea of how it works. Since we're dealing with a bunch of 2's and 4's, we want uniqueness. We can try the lowest digits of $\pi$ to approximate and see if we can pinpoint it. $\pi(1)=\frac{3.1416$. Since $\frac{3}{9}=\frac{64}{3}$ we can use these two terms to figure out the following: 5. $\pi(2)=\frac{3555.55512$, 6. $\pi(3)=\frac{354.4081$, 7. $\pi(4)=\frac{353.0889$ 8. $\pi(5)=\frac{353.1777$ 9. $\pi(6)=\frac{353.2491$ 10. $\pi(7)=\frac{353.3165$ 111. $\pi(8)=\frac{353.5427$ $\frac{353.576
A.358	We're considering a solid of revolution generated by a function $y(x)$, $x \le x \le a, x \ge 0$. Price a cylinder of radius $r$ and height $y$ as a hollow cylinder. One can partition the solid into disjoint cylinders of radius $r$ (thickness $dx$) and height $y$. Each cylinder is "filled" with a smaller cylinder which has radius $r-2\delta x$, height $y-\delta y$, where $\delta x$ and $\delta y$ can be small and $\delta \le \frac{1}{2}r$. It's a bad shape forlder than the big cylinder by a factor of $\frac{r^2}.$ Thus, it's reasonable to think of $2\pi y$ as the circumference of such hollow cyl([p.9], where $r=y-\delta y$). As the number of cylinders goes to infinity, the area of the larger cylinders goes to zero and that of smaller cylinders goes to $2\pi \cdot \frac{1}{2}= \frac{\pi}{2}$. The result is $\pi ydx$. But we need $\int \pi y\, dx$. What's the problem with this? \[p.9]: radius-height, one of the cylinders on the left has height $y-\frac{1}{2}\delta y$ which can achieved by two small ones of radius $\frac{r}{2},$ or $y-\delta y-\frac{1}{2}\delta y$, and so on. Since the height of the large one is $y$, the total height added (+) 10). [/p]. This isn't a right solution because the number of hollow cylinders goes to infinity. Part of the hollow is, indeed, $2\pi y$ cylinder−10 cylinders.−−10 cylinders The answer is $\boxed{\pi y}$,1010−−1010.
A.359	To solve the integral, we use the substitution $u=\tan\theta$, so $\theta = \arctan(u)$. We also need to make sure that our result will be in terms of a sine function, so we take the conjugate of the denominator and square: $$\cos^2\theta = \frac{1}{\left(\frac{x}{2}\right)^2 + 1} = \frac{1}{x^2 + 4} \quad \Longrightarrow \quad \sin\theta = \frac{x}{\sqrt{x^2 + 4} = \pm \frac{x}{\sqrt{x^2 + 4}}$$ Therefore, our answer is $$\int \sin\theta\,d\theta = \int \frac{x}{\sqrt{x^2 + 4}\,d\theta = \int \frac{x}{\sqrt{x^2 + 4}\sqrt{4}\,d\theta = \frac{2}{x}\sqrt{\frac{x^2 + 4}\} = \frac{2}{x}\sqrt{x^2}\sqrt{4} = \boxed{2\sqrt{x}$$ (1) Another example is where the Wilhelm composition has to be used. If we made the substituion $u = |x|$ the output would have been $-\sqrt{3}$ for some values of $x$. That is, $u$ and $du$ would have to be taken as the absolute value of $x$. Similarly, if we made $u = -x$, we'd have to take the absolute value of the integral also. But, as stated, we don't take absolute values, including in the case when $u=\tan\theta$. Why not? (2) About the conjugate of denominator: However, we are not always taking the principal angle. If $\tan\theta$ is the principal value, why cannot we take its complement? Because lower-quadrant values are the principal values of cosine and sine? Look at a sinusoidal, say: $$\theta = \frac{\pi}{6, \frac{7\pi}{6}, \frac{111\pi}{6} = 120^{\circ,
